Symbol,Open,Close,O-C change (%),High,Low,H-L change (%),DateTime,Market Sensitive,Headline,Link
AEG,1.105,1.1,-0.45,1.115,1.1,1.36,2020-07-07 09:29:00,False,Net Tangible Asset Backing,https://www.asx.com.au/asx/statistics/displayAnnouncement.do?display=pdf&idsId=02252361
FOR,0.895,0.885,-1.12,0.895,0.885,1.13,2020-07-07 09:28:00,True,Update - Dividend/Distribution - FOR,https://www.asx.com.au/asx/statistics/displayAnnouncement.do?display=pdf&idsId=02252360
PXX,0.042,0.04,-4.76,0.042,0.04,5.0,2020-07-07 09:27:00,True,Extension of Share Purchase Plan,https://www.asx.com.au/asx/statistics/displayAnnouncement.do?display=pdf&idsId=02252359
KAT,,,,,,,2020-07-07 09:27:00,True,Dividend/Distribution - KAT,https://www.asx.com.au/asx/statistics/displayAnnouncement.do?display=pdf&idsId=02252358
CVF,0.8,0.8,0.0,0.8,0.8,0.0,2020-07-07 09:26:00,False,Update - Dividend/Distribution - CVF,https://www.asx.com.au/asx/statistics/displayAnnouncement.do?display=pdf&idsId=02252357
DXS,9.4,9.39,-0.11,9.57,9.36,2.24,2020-07-07 09:26:00,False,DALT acquires two quality industrial assets,https://www.asx.com.au/asx/statistics/displayAnnouncement.do?display=pdf&idsId=02252356
BHD,,,,,,,2020-07-07 09:25:00,False,Updated Securities Trading Policy,https://www.asx.com.au/asx/statistics/displayAnnouncement.do?display=pdf&idsId=02252355
YOW,0.033,0.032,-3.03,0.033,0.032,3.12,2020-07-07 09:25:00,False,Change of Director's Interest Notice,https://www.asx.com.au/asx/statistics/displayAnnouncement.do?display=pdf&idsId=02252354
ZIP,,,,,,,2020-07-07 09:25:00,True,Update on ZipTel Acquisition of Douugh,https://www.asx.com.au/asx/statistics/displayAnnouncement.do?display=pdf&idsId=02252353
VLT,0.35,0.34,-2.86,0.355,0.335,5.97,2020-07-07 09:25:00,True,Trading Halt,https://www.asx.com.au/asx/statistics/displayAnnouncement.do?display=pdf&idsId=02252352
